time/episodes,time/total timesteps,time/fps,rollout/success rate,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
1,100,2,0.0,37,100.0,-10116.100234,,,,
2,200,3,0.0,52,100.0,-9943.677942499999,1455.892318725586,0.001,93.51964492797852,80
3,300,4,0.0,66,100.0,-10248.758350999999,716.9270690917969,0.001,101.74086532592773,180
4,400,4,0.0,80,100.0,-10366.49205625,318.80784301757814,0.001,107.35786056518555,280
5,500,5,0.0,97,100.0,-10396.2694422,230.9215938568115,0.001,119.42140197753906,380
6,600,5,0.0,110,100.0,-10344.2593495,225.82944869995117,0.001,131.27760620117186,480
7,700,5,0.0,128,100.0,-10357.701495,211.17762718200683,0.001,147.75208129882813,580
8,800,5,0.0,141,100.0,-10340.1243765,273.2640022277832,0.001,163.46910247802734,680
9,900,5,0.0,154,100.0,-10377.275605555556,213.7555782318115,0.001,180.84202880859374,780
10,1000,5,0.0,167,100.0,-10404.662534300001,273.69072952270506,0.001,198.67921295166016,880
11,1100,6,0.0,182,100.0,-10408.999603636365,365.12799854278563,0.001,216.09754028320313,980
12,1200,6,0.0,198,100.0,-10246.403607,763.9870834350586,0.001,229.29887847900392,1080
13,1300,6,0.0,212,100.0,-10266.532595538463,781.3927871704102,0.001,243.98543243408204,1180
14,1304,6,0.07142857142857142,215,93.14285714285714,-9561.914380785716,899.3364196777344,0.001,247.45882720947264,1200
15,1404,6,0.06666666666666667,233,93.6,-9595.864699466669,727.8166656494141,0.001,264.95842895507815,1300
16,1441,5,0.125,241,90.0625,-9220.786915562501,887.1149826049805,0.001,270.4251251220703,1340
17,1541,5,0.11764705882352941,258,90.6470588235294,-8926.578410176471,1187.0067993164062,0.001,280.7633422851562,1440
18,1641,5,0.1111111111111111,275,91.16666666666667,-8828.510236444445,1806.7080520629884,0.001,286.90654907226565,1540
19,1741,6,0.10526315789473684,288,91.63157894736842,-8732.24008131579,1749.4025817871093,0.001,305.3940002441406,1640
20,1841,6,0.1,302,92.05,-8369.6921088,1234.1341506958008,0.001,317.35084838867186,1740
21,1941,6,0.09523809523809523,316,92.42857142857143,-8449.949811952381,1343.801708984375,0.001,325.4456787109375,1840
22,2041,6,0.09090909090909091,330,92.77272727272727,-8525.822873909092,1431.5412368774414,0.001,337.44927978515625,1940
23,2103,6,0.13043478260869565,340,91.43478260869566,-8212.28847021739,2022.3597763061523,0.001,348.2765350341797,2000
24,2203,6,0.125,352,91.79166666666667,-8316.26022125,2142.475196838379,0.001,358.57239685058596,2100
25,2303,6,0.12,367,92.12,-8363.922626239999,2884.517854309082,0.001,371.5305694580078,2200
26,2403,6,0.11538461538461539,383,92.42307692307692,-8369.963371192307,3211.7944152832033,0.001,388.8390625,2300
27,2503,6,0.1111111111111111,400,92.70370370370371,-8379.596226037036,2963.377780151367,0.001,403.2370880126953,2400
28,2603,6,0.10714285714285714,413,92.96428571428571,-8245.183966785715,3349.2656951904296,0.001,419.4978363037109,2500
29,2703,6,0.10344827586206896,426,93.20689655172414,-7992.367709241379,3982.532537841797,0.001,415.3020294189453,2600
30,2765,6,0.13333333333333333,437,92.16666666666667,-7734.8434916,3537.2630828857423,0.001,422.47943115234375,2660
31,2773,6,0.16129032258064516,439,89.45161290322581,-7495.644400870968,,,,
32,2873,6,0.15625,455,89.78125,-7332.368598812501,2496.8206634521484,0.001,429.72991638183595,2760
33,2973,6,0.15151515151515152,471,90.0909090909091,-7248.457593939395,2346.6450744628905,0.001,435.9899078369141,2860
34,3073,6,0.14705882352941177,485,90.38235294117646,-7123.176586176472,3752.2637268066405,0.001,445.0448272705078,2960
35,3173,6,0.14285714285714285,506,90.65714285714286,-7019.7985803142865,3689.3427185058595,0.001,452.0909820556641,3060
36,3273,6,0.1388888888888889,518,90.91666666666667,-7109.00618113889,5299.663269042969,0.001,470.1001922607422,3160
37,3373,6,0.13513513513513514,532,91.16216216216216,-7191.002348135135,3804.9475830078127,0.001,471.13927001953124,3260
38,3473,6,0.13157894736842105,547,91.39473684210526,-7251.472795500001,4361.580883789063,0.001,482.7198486328125,3360
39,3573,6,0.1282051282051282,560,91.61538461538461,-7259.306733384615,6292.135931396484,0.001,498.1240600585937,3460
40,3673,6,0.125,577,91.825,-7329.892675699999,4185.323046875,0.001,507.0105316162109,3560
41,3773,6,0.12195121951219512,591,92.02439024390245,-7178.794696585364,5074.423358154297,0.001,506.4463165283203,3660
42,3873,6,0.11904761904761904,605,92.21428571428571,-7253.824407785713,4059.338482666016,0.001,522.3348815917968,3760
43,3973,6,0.11627906976744186,621,92.3953488372093,-7140.239991999999,7362.033166503907,0.001,523.5342498779297,3860
44,4073,6,0.11363636363636363,638,92.56818181818181,-7015.793847772727,6235.96201171875,0.001,552.6172180175781,3960
45,4173,6,0.1111111111111111,652,92.73333333333333,-6891.835621,6503.078387451172,0.001,546.5452758789063,4060
46,4273,6,0.10869565217391304,669,92.8913043478261,-6960.553027630434,6305.114611816406,0.001,544.3472869873046,4160
47,4373,6,0.10638297872340426,686,93.04255319148936,-6846.212452914892,6106.896197509765,0.001,566.106787109375,4260
48,4473,6,0.10416666666666667,706,93.1875,-6738.117436833333,9357.36385498047,0.001,553.8775024414062,4360
49,4573,6,0.10204081632653061,721,93.3265306122449,-6729.1453404693875,8817.75474243164,0.001,560.6946594238282,4460
50,4673,6,0.1,738,93.46,-6611.70844976,7900.597351074219,0.001,573.7400695800782,4560
51,4773,6,0.09803921568627451,757,93.58823529411765,-6556.100028431373,8345.305444335938,0.001,572.94140625,4660
