rollout/success rate,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,time/fps,train/critic_loss
0.92,199960,14,5567,16.54,200089,-123.65926644000001,620.7531372070313,0.001,14237,12278.6369140625
0.92,,15,5568,16.6,200098,-123.68372631000003,,,13084,
0.93,199980,17,5569,15.77,200115,-120.09734308000003,604.5935668945312,0.001,11219,22286.6443359375
0.93,200080,29,5570,16.61,200208,-123.18720042000002,723.5250366210937,0.001,6673,6342.5843505859375
0.93,200100,32,5571,16.65,200222,-123.14474437999999,694.1393981933594,0.001,6184,10994.632568359375
0.93,200120,35,5572,16.79,200245,-122.93309771999999,679.5284851074218,0.001,5593,12741.097998046875
0.92,200220,49,5573,17.75,200345,-127.15072335,887.3996765136719,0.001,4012,9573.611450195312
0.91,200320,63,5574,18.74,200445,-129.25739109,749.03408203125,0.001,3172,12321.65029296875
0.9,200420,77,5575,19.7,200545,-131.86835122000002,813.2357055664063,0.001,2592,11679.007666015625
0.9,200480,88,5576,20.25,200618,-132.73532409999999,771.8795715332031,0.001,2266,13592.03134765625
0.89,200580,102,5577,21.14,200718,-135.15725869,726.3392700195312,0.001,1950,10005.44091796875
0.88,200680,118,5578,22.11,200818,-139.36560197999998,735.5574462890625,0.001,1693,10759.347314453125
0.87,200780,133,5579,23.05,200918,-138.66012657,708.1012634277344,0.001,1507,13258.76982421875
0.87,200820,138,5580,23.31,200949,-138.53112176999997,695.0602783203125,0.001,1450,12565.655737304687
0.87,200860,144,5581,23.68,200989,-139.00088322999997,708.1199340820312,0.001,1395,9439.930395507812
0.86,200960,156,5582,24.62,201089,-142.16773651,701.8451904296875,0.001,1280,11470.170483398437
0.85,201060,170,5583,25.5,201189,-144.8816236,714.34716796875,0.001,1179,8299.389135742187
0.85,201160,185,5584,25.5,201289,-144.0191666,711.7689453125,0.001,1082,10459.200830078125
0.84,201260,200,5585,26.46,201389,-152.81600494000003,701.8519836425781,0.001,1004,10355.48837890625
0.83,201360,214,5586,27.44,201489,-158.99225383000004,764.6462585449219,0.001,939,10252.67548828125
0.84,201400,221,5587,26.86,201531,-147.99396650999998,785.2361694335938,0.001,911,12252.720483398438
0.84,201460,231,5588,27.48,201599,-147.57806492,791.6126831054687,0.001,870,14861.389428710938
0.83,201560,244,5589,28.44,201699,-154.39958507999998,758.4636535644531,0.001,825,16737.42141113281
0.83,201580,246,5590,28.57,201715,-154.63890132999998,774.32041015625,0.001,817,13279.722436523438
0.82,201680,261,5591,29.53,201815,-162.18937462,797.4939575195312,0.001,773,14260.668408203124
0.81,201780,277,5592,30.48,201915,-165.74594402,825.706494140625,0.001,728,13298.180639648437
0.8,201880,291,5593,31.44,202015,-172.26663668,795.0010375976562,0.001,693,15869.213159179688
0.79,201980,307,5594,32.33,202115,-175.01846663000003,807.1025817871093,0.001,657,13021.363354492187
0.79,202000,308,5595,32.36,202122,-175.01580888,790.8108947753906,0.001,654,12751.064477539063
0.78,202100,322,5596,33.33,202222,-179.98185729000005,816.0392333984375,0.001,626,17607.28288574219
0.78,,325,5597,33.43,202236,-180.15080583000002,,,621,
0.78,202160,332,5598,33.85,202282,-180.87819832000002,777.6440856933593,0.001,607,15893.292724609375
0.77,202260,346,5599,34.81,202382,-183.95793229,793.6978759765625,0.001,583,12019.944677734375
0.76,202360,360,5600,35.78,202482,-190.62155627,773.8708190917969,0.001,561,11944.26337890625
0.75,202460,377,5601,36.73,202582,-195.86849322,805.5101867675781,0.001,536,13629.683422851562
0.74,202560,391,5602,37.68,202682,-202.16390451000004,794.9192016601562,0.001,517,13090.75478515625
0.73,202660,405,5603,38.61,202782,-203.32907834000002,800.2389038085937,0.001,499,13833.050268554687
0.72,202760,418,5604,39.56,202882,-209.92982139,797.1880004882812,0.001,484,15877.360766601563
0.72,,420,5605,39.64,202894,-210.04008783,,,482,
0.71,202860,436,5606,40.6,202994,-211.61455645,791.3882751464844,0.001,465,15160.815087890625
0.7,202960,450,5607,41.47,203094,-218.71600498,790.4923950195313,0.001,450,14556.45009765625
0.69,203060,466,5608,42.36,203194,-225.92751948000006,828.0218139648438,0.001,435,16526.295629882814
0.69,203140,478,5609,43.06,203278,-222.58022048000004,820.9204284667969,0.001,424,18331.88674316406
0.68,203240,494,5610,44.02,203378,-225.89634513000001,829.1552917480469,0.001,411,12039.132104492188
0.67,203340,508,5611,45.01,203478,-233.13428465,854.3021911621094,0.001,400,20793.158349609374
0.66,203440,521,5612,45.75,203578,-235.89869842000004,853.7065795898437,0.001,390,21216.00068359375
0.65,203540,536,5613,46.72,203678,-239.3038872,880.6314392089844,0.001,379,16234.928002929688
0.64,203640,551,5614,47.62,203778,-243.84288154,878.5239929199219,0.001,369,14426.090087890625
0.63,203740,565,5615,48.59,203878,-244.39656076,857.9624633789062,0.001,360,18694.9658203125
0.64,203800,572,5616,48.02,203921,-240.48957856999996,847.6768493652344,0.001,356,15588.15087890625
0.63,203900,586,5617,48.84,204021,-245.96151455,854.3975341796875,0.001,347,14590.449365234375
0.63,204000,601,5618,48.84,204121,-249.03326785999997,887.1783813476562,0.001,339,15607.635595703125
0.63,,602,5619,48.85,204124,-249.08521908999998,,,338,
0.62,204100,616,5620,49.8,204224,-251.18011537,873.0117126464844,0.001,331,16458.42919921875
0.61,204200,627,5621,50.45,204324,-254.60091304000002,852.552099609375,0.001,325,23213.287231445312
0.6,204300,641,5622,51.35,204424,-256.97873307000003,846.346240234375,0.001,318,22748.086499023437
0.59,204400,659,5623,52.22,204524,-263.87419757000004,901.1586303710938,0.001,310,15221.240771484376
0.58,204500,671,5624,53.2,204624,-271.02569461999997,907.5170288085938,0.001,304,17305.205004882813
0.57,204600,684,5625,54.15,204724,-275.87094262000005,888.0557189941406,0.001,299,17520.388305664062
0.56,204700,697,5626,55.06,204824,-280.44861718,914.5596313476562,0.001,293,13630.760229492187
0.55,204800,712,5627,56.02,204924,-286.91649447,887.43876953125,0.001,287,21605.8318359375
0.54,204900,726,5628,57.0,205024,-293.89813934999995,891.0328796386718,0.001,282,18764.267944335938
0.53,205000,740,5629,57.98,205124,-300.72640608,898.0867858886719,0.001,276,15789.49013671875
0.52,205100,754,5630,58.94,205224,-310.15838356,912.1143615722656,0.001,271,19345.886938476564
0.53,205120,759,5631,58.23,205253,-293.40519646,912.3752868652343,0.001,270,23668.079223632812
0.53,,761,5632,58.23,205259,-293.34514616,,,269,
0.52,205220,773,5633,59.2,205359,-300.20599946,935.1708435058594,0.001,265,17042.946240234374
0.51,205320,789,5634,60.15,205459,-304.44732236,934.5274291992188,0.001,260,23126.300390625
0.5,205420,803,5635,61.08,205559,-315.08853609,912.5898132324219,0.001,255,18698.935473632813
0.49,205520,815,5636,62.06,205659,-323.41612786,921.56669921875,0.001,252,19744.001513671876
0.48,205620,828,5637,62.74,205759,-319.42654211999997,941.2773071289063,0.001,248,15682.00673828125
0.47,205720,842,5638,63.68,205859,-322.11489235,900.1775207519531,0.001,244,19794.44431152344
0.46,205820,857,5639,64.31,205959,-323.52332649,920.4425598144531,0.001,240,21430.54326171875
0.45,205920,874,5640,65.28,206059,-326.59092055,939.7473510742187,0.001,235,17854.16845703125
0.44,206020,888,5641,65.84,206159,-328.95653123000005,909.9709594726562,0.001,232,16311.832080078126
0.44,206080,896,5642,66.3,206214,-328.41646105,901.3893310546875,0.001,230,21582.08779296875
0.43,206180,909,5643,67.26,206314,-331.23841552,921.5407104492188,0.001,226,21538.93947753906
0.42,206280,921,5644,67.79,206414,-336.61704080999993,919.0271179199219,0.001,223,15606.740551757812
0.42,206320,927,5645,68.07,206448,-336.95227034999994,918.4756286621093,0.001,222,15836.7697265625
0.41,206420,941,5646,69.0,206548,-341.52545620999996,909.706640625,0.001,219,20283.936328125
0.4,206520,955,5647,69.94,206648,-344.81528137000004,903.5032775878906,0.001,216,19565.117138671874
0.4,206560,961,5648,70.2,206682,-344.60956137999995,925.3139770507812,0.001,215,17665.3681640625
0.4,,962,5649,70.22,206692,-344.30758111999995,,,214,
0.39,206660,976,5650,71.2,206792,-349.6465955,922.5377502441406,0.001,211,23728.0693359375
0.38,206760,990,5651,72.16,206892,-354.38643535999995,912.7522766113282,0.001,208,19689.394970703124
0.37,206860,1004,5652,73.07,206992,-356.3604100999999,915.5438537597656,0.001,205,14156.38642578125
0.36,206960,1017,5653,74.03,207092,-360.57039900999996,944.3290954589844,0.001,203,21372.956982421874
0.35,207060,1031,5654,75.0,207192,-365.27511586,913.7111267089844,0.001,200,16771.4615234375
0.35,207140,1042,5655,75.7,207268,-365.33723648000006,951.4389770507812,0.001,198,16245.519848632812
0.34,207240,1056,5656,76.67,207368,-374.5551766800001,936.1002014160156,0.001,196,21361.9720703125
0.33,207340,1072,5657,77.63,207468,-379.30137215,948.1595947265625,0.001,193,19256.38835449219
0.32,207440,1086,5658,78.59,207568,-385.36078354999995,943.1026916503906,0.001,191,17378.614501953125
0.31,207540,1102,5659,79.27,207668,-391.72991311,939.763623046875,0.001,188,19803.449096679688
0.31,207640,1118,5660,79.27,207768,-373.68939915999994,983.989453125,0.001,185,17980.53728027344
0.3,207740,1135,5661,80.23,207868,-379.35590336,955.7306396484375,0.001,183,19560.975317382814
0.3,207840,1151,5662,80.23,207968,-372.61837244,971.5631408691406,0.001,180,19128.55986328125
0.29,207940,1167,5663,80.98,208068,-373.96996134,981.6114562988281,0.001,178,19604.727880859376
0.28,208040,1180,5664,81.94,208168,-378.26197503000003,967.2608215332032,0.001,176,22319.66376953125
0.27,208140,1193,5665,82.84,208268,-376.96213212000004,976.7508850097656,0.001,174,20672.065771484376
0.26,208240,1207,5666,83.68,208368,-382.50365194,978.0838195800782,0.001,172,22888.790185546874
0.26,208340,1220,5667,83.72,208461,-382.54598336999993,975.2298645019531,0.001,170,18525.273583984374
0.25,208440,1236,5668,84.63,208561,-391.05095030000007,986.0015319824219,0.001,168,20188.73928222656
0.24,208540,1248,5669,85.46,208661,-396.49557835,996.8752563476562,0.001,167,25450.568798828124
0.24,,1250,5670,84.58,208666,-393.08684014,,,166,
0.23,208640,1264,5671,85.44,208766,-394.06998817999994,994.0805480957031,0.001,165,23873.289794921875
