time/episodes,rollout/success rate,time/time_elapsed,time/total timesteps,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/fps
7894,0.25,12,400100,3985820.45,0.001,85.73,12056.3134765625,-408.18540245,399960,33330
7895,0.25,27,400200,4077469.36875,0.001,85.73,12035.60986328125,-408.90717097,400060,14711
7896,0.25,38,400300,3035629.55625,0.001,85.73,12164.58583984375,-412.72459785,400160,10280
7897,0.25,50,400400,3113771.8859375,0.001,85.73,12169.89892578125,-414.0841556499999,400260,7904
7898,0.25,63,400500,2839176.7234375,0.001,85.73,12105.8580078125,-411.61686921999996,400360,6355
7899,0.24,74,400600,4060073.503125,0.001,86.2,11991.7015625,-418.3255913899999,400460,5402
7900,0.24,87,400700,3000096.625,0.001,86.2,12166.41025390625,-420.8829083499999,400560,4568
7901,0.25,89,400715,2883195.5828125,0.001,85.35,12141.35810546875,-420.2141533799999,400580,4456
7902,0.24,102,400815,4969449.415625,0.001,86.21,12066.18046875,-428.71771831,400680,3910
7903,0.24,115,400915,3455623.134375,0.001,86.21,12168.70263671875,-428.01891080999997,400780,3457
7904,0.24,129,401015,3810203.978125,0.001,86.21,12152.09560546875,-426.94951510999994,400880,3105
7905,0.24,142,401115,3308753.0078125,0.001,86.21,12194.826171875,-424.1933405,400980,2821
7906,0.24,155,401215,2157841.8359375,0.001,86.21,12228.61611328125,-425.9864645100001,401080,2572
7907,0.24,170,401315,3670926.6984375,0.001,86.21,12222.95654296875,-424.94824129000006,401180,2357
7908,0.23,181,401415,4500837.1625,0.001,87.05,12149.4232421875,-429.7243316000001,401280,2217
7909,0.24,183,401429,2925376.6828125,0.001,86.19,12246.546484375,-428.51421366,401300,2189
7910,0.24,196,401529,2880605.93125,0.001,86.19,12219.9396484375,-428.35625773,401400,2041
7911,0.24,201,401565,2997237.3765625,0.001,86.03,12201.00478515625,-429.0302788999999,401440,1991
7912,0.24,213,401665,2549003.8796875,0.001,86.03,12211.74658203125,-435.24554334,401540,1881
7913,0.23,227,401765,3582456.5734375,0.001,86.78,12231.1392578125,-437.60398275,401640,1768
7914,0.23,240,401865,2879010.91875,0.001,86.78,12198.50869140625,-433.83179446999986,401740,1669
7915,0.22,252,401965,2534871.446875,0.001,87.76,12271.22724609375,-441.25200421,401840,1594
7916,0.22,266,402065,2617957.634375,0.001,87.76,12284.44990234375,-439.8627179,401940,1511
7917,0.21,277,402165,4017429.7578125,0.001,88.68,12158.58994140625,-444.26746071,402040,1451
7918,0.22,284,402214,3199706.7625,0.001,88.17,12260.21455078125,-436.52659726999997,402080,1415
