time/fps,time/episodes,time/time_elapsed,train/actor_loss,rollout/success rate,train/n_updates,time/total timesteps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
26332,4261,15,860.2171630859375,0.16,399980,400100,6653.537979125977,0.001,-447.75489691,89.73
11444,4262,34,854.3591857910156,0.16,400080,400200,6785.1224914550785,0.001,-451.86692018,89.73
7929,4263,50,855.6631408691406,0.15,400180,400300,9154.529403686523,0.001,-453.01300439,89.84
5839,4264,68,865.3449462890625,0.15,400280,400400,4785.938960266113,0.001,-454.38294714999995,89.84
4809,4265,83,850.0862365722656,0.15,400380,400500,8383.052944946288,0.001,-454.4985897199999,89.84
4395,4266,91,863.2032836914062,0.15,400440,400542,9512.496286010743,0.001,-455.20228094,90.06
4189,4267,95,871.2518188476563,0.16,400460,400567,9682.098809814453,0.001,-449.48799407000007,89.31
3472,4268,115,857.0225402832032,0.16,400560,400667,8018.955545043946,0.001,-449.4804129200001,89.31
2950,4269,135,852.4217529296875,0.15,400660,400767,11324.88166809082,0.001,-455.93790388000014,90.01
2588,4270,154,864.954541015625,0.15,400760,400867,7841.782055664063,0.001,-453.4699842700001,90.01
2324,4271,172,856.5595703125,0.15,400860,400967,8879.867498779297,0.001,-450.60735162000003,90.01
2115,4272,189,858.5726928710938,0.15,400960,401067,8187.526971435547,0.001,-453.09770489000005,90.01
1910,4273,209,865.9312561035156,0.15,401060,401167,9497.643728637695,0.001,-451.89108605000007,90.01
1777,4274,225,858.32158203125,0.15,401160,401267,6564.289724731445,0.001,-455.2412726400001,90.01
1639,4275,244,852.2688537597656,0.15,401260,401367,9238.006594848634,0.001,-458.9910196300001,90.01
1534,4276,261,851.7555358886718,0.14,401360,401467,15258.88119506836,0.001,-461.51136160000016,90.62
1434,4277,279,852.8421325683594,0.14,401460,401567,11052.332138061523,0.001,-459.3431570200001,90.62
1345,4278,298,851.5852661132812,0.14,401560,401667,7975.5806640625,0.001,-461.2083326600001,90.62
1301,4279,308,864.3580810546875,0.15,401620,401724,4728.445413208008,0.001,-457.11853414000007,90.19
1215,4280,330,856.2984497070313,0.15,401720,401824,6217.115069580078,0.001,-458.1234352,90.19
1144,4281,351,852.9548828125,0.15,401820,401924,3797.6649322509766,0.001,-460.97323966,90.19
1088,4282,369,851.1470397949219,0.15,401920,402024,8361.36011505127,0.001,-460.69947476999994,90.19
1060,4283,379,853.4781372070313,0.16,401960,402070,12901.385159301757,0.001,-456.5160494699999,89.65
1014,4284,396,850.2985290527344,0.16,402060,402170,9613.9921875,0.001,-454.4800682199999,89.65
974,4285,412,852.5038452148438,0.16,402160,402270,9623.415902709961,0.001,-455.72489054,89.65
929,4286,432,855.8749145507812,0.16,402260,402370,11804.217898559571,0.001,-455.25986930999994,89.65
899,4287,447,860.0555847167968,0.16,402360,402470,9459.305032348633,0.001,-458.53315568999983,89.65
869,4288,462,853.7803833007813,0.16,402460,402570,14250.342648315429,0.001,-454.73032614000005,89.65
