train/learning_rate,train/critic_loss,rollout/success rate,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total timesteps,rollout/ep_len_mean
0.001,3268.145553588867,0.37,6660,696.3532775878906,599980,-261.92279135999996,35302,16,600085,74.71
0.001,3911.050288391113,0.38,6661,699.0623229980469,600040,-258.03286284,18788,31,600151,74.37
,,0.39,6662,,,-253.75289871,17939,33,600156,73.42
0.001,6612.183782958984,0.39,6663,703.2789916992188,600100,-252.46442014000002,14182,42,600206,73.14
0.001,6361.185014343262,0.39,6664,702.8093933105469,600120,-251.82301343999998,12856,46,600228,73.09
0.001,8534.76686706543,0.4,6665,689.438916015625,600140,-247.85123227999998,11513,52,600257,72.38
0.001,9005.707061767578,0.39,6666,695.6425231933594,600240,-250.94912949999997,8931,67,600357,73.18
0.001,9133.967330932617,0.39,6667,687.0398864746094,600260,-251.24327751999996,8562,70,600370,73.07
,,0.4,6668,,,-247.26493763,8278,72,600378,72.15
0.001,6320.814093017578,0.39,6669,691.4302673339844,600360,-248.71885615999997,6403,93,600478,72.97
0.001,6620.365759277343,0.39,6670,695.9686767578125,600460,-248.02575953999997,5590,107,600578,72.97
0.001,7144.394706726074,0.38,6671,698.5082763671875,600560,-253.3086664,4853,123,600678,73.59
0.001,8536.878648376465,0.38,6672,698.6835693359375,600660,-255.47786628000003,4260,141,600778,73.59
0.001,3915.3413360595705,0.37,6673,695.22734375,600760,-258.12874664,3785,158,600878,74.17
0.001,7464.687985229492,0.36,6674,692.6213500976562,600860,-260.63698471,3430,175,600978,75.1
0.001,7222.524304199219,0.36,6675,702.02509765625,600960,-257.13046990999993,3129,192,601078,75.1
0.001,5025.707531738281,0.36,6676,700.7249389648438,601060,-258.09119632,2890,207,601178,75.1
0.001,6887.98692779541,0.37,6677,694.14541015625,601080,-256.01886526999994,2849,211,601192,74.24
0.001,6379.309588623047,0.37,6678,693.7810363769531,601180,-255.19697696999995,2620,229,601292,74.24
0.001,6971.277870178223,0.36,6679,698.1435302734375,601280,-259.15394153,2455,244,601392,75.08
0.001,7477.917768859863,0.36,6680,700.550439453125,601320,-260.23810942999995,2385,252,601432,75.33
0.001,6124.909225463867,0.37,6681,695.98505859375,601360,-258.1202424,2310,260,601475,74.76
0.001,6842.012153625488,0.37,6682,701.4916748046875,601460,-259.10879696999996,2163,278,601575,74.76
0.001,4915.283163452148,0.37,6683,699.8976257324218,601560,-261.30542902,2046,293,601675,74.76
0.001,7225.584690856934,0.37,6684,696.6339294433594,601640,-261.2022274,1942,309,601753,74.9
0.001,8258.04239501953,0.36,6685,695.3425415039062,601740,-264.33448554,1842,326,601853,75.67
0.001,6464.315823364258,0.36,6686,696.2283935546875,601840,-265.63721578,1741,345,601953,75.67
0.001,5548.894586181641,0.37,6687,701.1874328613281,601860,-258.66128683000005,1721,349,601973,74.87
0.001,7914.915132141114,0.37,6688,700.4148315429687,601960,-253.60863949999998,1630,369,602073,74.87
0.001,7059.640277099609,0.37,6689,697.2175048828125,602060,-249.91962796999996,1557,386,602173,74.87
0.001,8860.955699157716,0.37,6690,692.4564514160156,602160,-252.44361253999995,1487,404,602273,74.87
0.001,12594.727188110352,0.38,6691,695.5241638183594,602180,-248.92193124999994,1479,407,602281,73.95
0.001,8796.23242034912,0.37,6692,687.784326171875,602280,-252.24835851999995,1423,423,602381,74.87
0.001,12196.321362304687,0.37,6693,697.2689453125,602380,-250.47782060999998,1364,441,602481,74.87
0.001,8150.2622543334965,0.36,6694,696.4858581542969,602480,-249.66512081999997,1313,458,602581,75.09
0.001,6185.035157775879,0.36,6695,692.5465698242188,602580,-246.56187301999998,1272,473,602681,75.09
0.001,12506.022137451171,0.36,6696,691.304248046875,602680,-252.33683337999994,1220,493,602781,75.09
0.001,3421.2369140625,0.36,6697,705.4159545898438,602780,-245.53328048,1185,508,602881,75.09
0.001,9256.95330505371,0.37,6698,694.2399597167969,602800,-237.28510484999998,1176,512,602901,74.29
0.001,7615.549128723144,0.38,6699,696.8042114257812,602840,-234.64138134,1156,521,602944,73.72
0.001,7241.323822021484,0.38,6700,692.3337890625,602940,-231.30165654,1121,537,603044,73.72
0.001,9191.20174560547,0.38,6701,701.6573364257813,603040,-232.61056334999998,1092,552,603144,73.72
