rollout/success rate,time/total timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
0.28,800017,9076,81.61,-498.60462550999995,218301,3,,,,
0.28,800117,9077,81.61,-496.81646209999997,44307,18,795.1364013671875,10974.391748046875,0.001,800000
0.28,800128,9078,80.83,-493.7558093399999,38824,20,796.901220703125,11964.739617919922,0.001,800020
0.27,800228,9079,81.7,-496.66355297999996,21698,36,792.7513366699219,7559.704397583007,0.001,800120
0.26,800328,9080,82.61,-501.63366209,15149,52,796.297998046875,9683.355291748047,0.001,800220
0.26,800428,9081,82.61,-484.36199348,11888,67,801.4956909179688,6403.2515518188475,0.001,800320
0.25,800528,9082,83.51,-486.77357677,9663,82,799.6028442382812,8577.720916748047,0.001,800420
0.25,800628,9083,83.51,-483.67889105,8241,97,797.0495056152344,13773.85989074707,0.001,800520
0.25,800728,9084,83.51,-478.00117322,7316,109,797.2496765136718,11398.565524291993,0.001,800620
0.25,800775,9085,83.66,-477.7231029,6798,117,789.4255004882813,12462.259716796874,0.001,800660
0.25,800875,9086,83.66,-473.00945801,5890,135,798.0946838378907,10315.430480957031,0.001,800760
0.26,800887,9087,82.78,-466.7134787300001,5753,139,799.0548767089844,9565.704461669922,0.001,800780
0.26,800987,9088,82.78,-459.59923513000007,5255,152,799.451708984375,9591.756420898437,0.001,800880
0.25,801087,9089,83.65,-465.32480217000005,4787,167,788.9064392089844,7748.889678955078,0.001,800980
0.25,801187,9090,83.65,-463.52933311,4406,181,800.4135437011719,8610.092655944823,0.001,801080
0.26,801244,9091,83.22,-453.03986273999993,4135,193,788.92763671875,9317.586013793945,0.001,801140
0.26,801344,9092,83.22,-451.72486096999995,3865,207,793.8069030761719,14287.66821899414,0.001,801240
0.25,801444,9093,83.25,-450.6094716699999,3615,221,791.3712890625,14314.431771850586,0.001,801340
0.24,801544,9094,84.03,-459.28596438000005,3402,235,787.1396423339844,10797.25020904541,0.001,801440
0.24,801644,9095,84.03,-464.39116697000003,3181,251,791.9469482421875,11930.16728515625,0.001,801540
0.24,801744,9096,84.03,-463.8418298800001,2978,269,801.146240234375,12696.336755371094,0.001,801640
0.24,801844,9097,84.03,-457.6542078,2846,281,791.5957153320312,10796.667892456055,0.001,801740
0.24,801944,9098,84.03,-451.65853719,2644,303,791.7130676269531,8092.434652709961,0.001,801840
0.25,801957,9099,83.16,-446.9493588499999,2619,306,,,,
0.25,802057,9100,83.16,-446.3848456799999,2469,324,785.4158569335938,15245.695388793945,0.001,801940
0.25,802157,9101,83.16,-441.07238511999986,2325,344,773.73681640625,12142.206547546386,0.001,802040
0.26,802171,9102,82.3,-432.9214309399998,2305,348,782.6991943359375,14765.146572875976,0.001,802060
0.27,802180,9103,81.39,-423.05716771999994,2289,350,,,,
0.27,802280,9104,81.39,-424.34370147999994,2193,365,790.6604614257812,8793.398043823243,0.001,802160
