rollout/success rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
0.52,11904,3,-203.27554996000003,65.2,324144,1000011,,,,
0.53,11905,16,-200.75093937000005,64.78,59060,1000069,6529.8160949707035,634.9189697265625,999960,0.001
0.54,11906,30,-196.67797041000003,64.59,32391,1000150,11148.879640197754,629.61787109375,1000040,0.001
0.54,11907,48,-205.94985132000002,64.59,20537,1000250,5297.587066650391,633.7731872558594,1000140,0.001
0.54,11908,52,-206.00246092999998,64.65,19072,1000266,7053.524647521973,629.1081481933594,1000160,0.001
0.54,11909,57,-206.82218967999998,64.75,17341,1000285,10914.517404174805,637.4020568847657,1000180,0.001
0.54,11910,61,-206.60701242,64.32,16345,1000304,9282.492114257813,629.3911376953125,1000200,0.001
0.54,11911,74,-222.72005839000002,64.32,13459,1000404,8529.48570098877,631.6812805175781,1000300,0.001
0.54,11912,82,-222.56792914,64.11,12097,1000462,8473.860917663575,629.2474243164063,1000360,0.001
0.54,11913,84,-221.87207983000005,64.11,11780,1000471,,,,
0.54,11914,102,-222.19195970000004,64.11,9755,1000571,6525.029838562012,630.040673828125,1000460,0.001
0.53,11915,116,-223.51794502000004,64.56,8584,1000671,8104.946875,633.1164428710938,1000560,0.001
0.54,11916,126,-219.05208855,64.13,7900,1000728,9703.32780303955,638.3686584472656,1000620,0.001
0.54,11917,140,-213.72692070000002,64.13,7103,1000828,8926.866575622558,627.9804077148438,1000720,0.001
0.54,11918,142,-213.91135978999998,64.15,7012,1000834,,,,
0.55,11919,144,-210.96906459000002,63.23,6927,1000842,5266.856640625,635.517333984375,1000740,0.001
0.55,11920,163,-209.66053123,63.23,6119,1000942,8025.4349914550785,630.3787170410156,1000840,0.001
0.54,11921,179,-218.55203192000002,64.06,5576,1001042,8198.908648681641,629.85390625,1000940,0.001
0.55,11922,187,-216.04815301000002,63.47,5336,1001083,8845.615512084962,635.7422668457032,1000980,0.001
0.55,11923,200,-215.09065837000003,63.69,4993,1001141,7900.715321350098,629.1067810058594,1001040,0.001
0.55,11924,219,-217.22728523,63.69,4556,1001241,4556.259761047363,635.8388732910156,1001140,0.001
0.56,11925,232,-215.73296009,63.38,4311,1001310,7354.543467712402,626.3354248046875,1001200,0.001
0.55,11926,255,-221.81509010999997,63.95,3914,1001410,5617.628623962402,633.6517578125,1001300,0.001
0.54,11927,272,-225.27720349999996,64.64,3669,1001510,5883.022300720215,621.2417785644532,1001400,0.001
0.55,11928,276,-225.73550504,63.82,3627,1001528,6354.148910522461,631.9769104003906,1001420,0.001
0.55,11929,277,-225.31611164999998,63.02,3610,1001532,,,,
0.55,11930,293,-222.03526506000003,63.02,3411,1001632,6484.272640991211,628.966259765625,1001520,0.001
0.54,11931,308,-227.71929396,63.63,3249,1001732,9123.633100891113,633.8792175292969,1001620,0.001
0.55,11932,323,-227.24814950000004,63.14,3099,1001783,10474.459642028809,619.3605041503906,1001680,0.001
0.55,11933,339,-232.71691954,63.14,2953,1001883,8168.79545135498,629.8894409179687,1001780,0.001
0.56,11934,346,-229.27420285,62.58,2889,1001927,8781.445649719239,632.1621154785156,1001820,0.001
0.55,11935,367,-230.95421825999998,62.8,2724,1002027,8099.2063262939455,627.7363891601562,1001920,0.001
0.56,11936,374,-224.84766978999997,62.26,2672,1002073,9371.681387329101,627.0913208007812,1001960,0.001
0.56,11937,376,-224.79280285999997,62.16,2660,1002077,,,,
0.57,11938,381,-222.96644252000002,61.35,2627,1002096,8771.445669555664,628.702880859375,1001980,0.001
0.58,11939,390,-198.16208677000003,60.79,2566,1002140,9603.562130737304,631.4560180664063,1002020,0.001
0.58,11940,413,-203.54344548,60.79,2426,1002240,10270.486737060546,635.7469543457031,1002120,0.001
0.58,11941,421,-205.29403831,60.74,2375,1002282,6371.571983337402,634.2814514160157,1002180,0.001
0.57,11942,446,-213.57010697,61.65,2246,1002382,6843.331129455566,642.9892395019531,1002280,0.001
0.58,11943,451,-212.84750036000003,60.88,2221,1002405,6753.945660400391,633.4284545898438,1002300,0.001
0.57,11944,467,-241.49453587,61.78,2144,1002505,7833.81748046875,633.9993408203125,1002400,0.001
0.57,11945,470,-241.58660898999997,61.78,2129,1002519,,,,
0.56,11946,490,-243.49207589999997,62.69,2043,1002619,8257.093075561523,634.7868286132813,1002500,0.001
0.55,11947,509,-245.91065185999997,62.82,1969,1002719,4877.991023254394,640.3538513183594,1002600,0.001
0.54,11948,523,-248.0019635,63.66,1915,1002819,9025.018969726563,629.9781433105469,1002700,0.001
0.53,11949,547,-255.40910085999997,64.52,1833,1002919,6934.707827758789,639.1545288085938,1002800,0.001
0.53,11950,556,-254.22179761000004,64.95,1802,1002969,6657.981314086914,628.4553527832031,1002860,0.001
0.53,11951,577,-254.34434356000003,64.95,1736,1003069,10591.875888061524,628.4605163574219,1002960,0.001
0.53,11952,579,-254.33077503,64.97,1731,1003075,,,,
0.53,11953,594,-253.80612599,64.97,1686,1003175,8552.269618225098,632.9246704101563,1003060,0.001
0.53,11954,611,-256.31174316000005,64.97,1640,1003275,8024.343519592285,637.3445495605469,1003160,0.001
0.54,11955,620,-252.648215,64.6,1615,1003338,10440.673428344726,634.0286926269531,1003220,0.001
0.54,11956,634,-248.46337353,64.6,1581,1003438,8017.72568359375,631.756201171875,1003320,0.001
0.55,11957,638,-236.44036788999998,63.79,1572,1003457,8104.15991821289,632.8972473144531,1003340,0.001
0.54,11958,658,-240.82947023,64.25,1525,1003557,7460.489413452148,637.2064453125,1003440,0.001
0.54,11959,661,-240.68090914,64.2,1516,1003572,8167.083532714843,638.6473022460938,1003460,0.001
0.54,11960,679,-239.60969210000002,64.2,1478,1003672,9788.643267822266,625.8666137695312,1003560,0.001
0.54,11961,694,-232.50068943999997,64.2,1445,1003772,6596.801307678223,626.5775634765625,1003660,0.001
0.54,11962,706,-233.57892016000002,64.66,1420,1003835,6719.141815185547,636.8740539550781,1003720,0.001
0.54,11963,707,-233.35391617999997,64.41,1417,1003839,,,,
0.54,11964,726,-240.92313735999997,64.41,1381,1003939,8029.971060180664,630.2076293945313,1003820,0.001
0.53,11965,740,-242.78464902000005,65.2,1356,1004039,7172.830151367188,636.0904663085937,1003920,0.001
0.52,11966,765,-245.95228212,66.15,1311,1004139,8386.297357177735,628.674267578125,1004020,0.001
0.52,11967,767,-245.73791525999997,66.05,1307,1004144,5547.505464172364,632.6903625488281,1004040,0.001
0.52,11968,769,-244.59434292999995,65.3,1305,1004150,,,,
0.52,11969,773,-244.31750116,65.19,1298,1004165,6327.109934997558,633.9472229003907,1004060,0.001
0.52,11970,791,-241.85968440999997,65.19,1268,1004265,9353.384436035156,629.9444152832032,1004160,0.001
0.52,11971,794,-241.93882397,65.14,1264,1004275,,,,
0.53,11972,797,-240.16604252999994,64.28,1258,1004289,7712.338597106934,631.1782348632812,1004180,0.001
0.52,11973,818,-241.81074892,65.12,1226,1004389,7014.35432434082,626.5511291503906,1004280,0.001
0.52,11974,831,-242.70106398,65.12,1207,1004489,7356.279565429688,632.3912902832031,1004380,0.001
0.51,11975,847,-242.53730668,65.29,1186,1004589,6665.192147827149,635.0517272949219,1004480,0.001
0.51,11976,867,-240.73018339,65.29,1158,1004689,6081.367091369629,628.3419799804688,1004580,0.001
0.51,11977,871,-240.61192736000004,65.35,1152,1004709,9206.118270874023,622.4238891601562,1004600,0.001
0.51,11978,873,-241.32820069000002,65.04,1149,1004715,,,,
0.51,11979,888,-240.48923996999997,65.04,1130,1004815,9981.473930358887,630.658837890625,1004700,0.001
0.5,11980,905,-248.20619262999998,65.64,1109,1004915,9301.503576660156,627.4528869628906,1004800,0.001
0.51,11981,908,-246.14163763999997,64.77,1105,1004928,9878.987858581542,626.3206420898438,1004820,0.001
0.51,11982,910,-245.76080763999994,63.87,1103,1004935,,,,
0.5,11983,931,-250.41492822999993,64.6,1078,1005035,7461.3471054077145,630.520068359375,1004920,0.001
0.5,11984,943,-250.52065118,64.96,1065,1005109,8226.53582458496,630.3226867675781,1005000,0.001
0.49,11985,961,-252.16725034000004,65.09,1045,1005209,7839.19461517334,630.3390563964844,1005100,0.001
0.48,11986,976,-257.86600919,66.01,1029,1005309,8566.194427490234,632.9089172363281,1005200,0.001
0.48,11987,997,-252.84390061,66.01,1007,1005409,9033.669088745117,632.3712158203125,1005300,0.001
0.48,11988,1017,-256.48809045999997,66.01,988,1005509,10081.000248718261,630.7138000488281,1005400,0.001
0.47,11989,1041,-258.57275458,66.89,965,1005609,6285.840994262695,629.7040832519531,1005500,0.001
0.47,11990,1043,-257.147838,66.28,963,1005618,,,,
0.46,11991,1065,-259.98361765999994,67.16,944,1005718,8571.735926818848,634.4398864746094,1005600,0.001
0.45,11992,1082,-262.3441425599999,67.95,929,1005818,4703.908670043946,638.5519897460938,1005700,0.001
0.45,11993,1097,-260.51817160999997,67.95,916,1005918,7238.609634399414,634.8952697753906,1005800,0.001
0.45,11994,1113,-260.75782436,67.95,903,1006018,5223.671086120606,634.0604125976563,1005900,0.001
0.45,11995,1132,-264.15451924,67.95,888,1006118,8830.569021606445,631.6575012207031,1006000,0.001
0.45,11996,1135,-264.30789857,68.02,885,1006133,9005.737109375,634.7381469726563,1006020,0.001
0.46,11997,1142,-260.660401,67.36,880,1006167,9318.310305786134,630.5195190429688,1006060,0.001
0.46,11998,1164,-264.34841647999997,67.36,863,1006267,8181.379344177246,639.2710144042969,1006160,0.001
0.45,11999,1182,-263.09690865,67.67,851,1006367,7346.737286376953,628.5796630859375,1006260,0.001
0.45,12000,1201,-261.11302614,67.67,837,1006467,9761.02414855957,623.6834777832031,1006360,0.001
0.45,12001,1216,-262.08208204,67.67,827,1006567,4811.379315185547,640.19365234375,1006460,0.001
0.45,12002,1231,-268.86693405,67.67,817,1006667,7355.897526550293,630.3308044433594,1006560,0.001
