rollout/success rate,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss
0.0,36,100.0,100,1,2,-97382.414083,,,,
0.0,71,100.0,200,2,2,-97015.2346595,,,,
0.0,107,100.0,300,3,2,-94382.31829166667,,,,
0.0,143,100.0,400,4,2,-96153.42914325,,,,
0.0,178,100.0,500,5,2,-94534.7421368,,,,
0.0,214,100.0,600,6,2,-93946.55649533334,,,,
0.0,250,100.0,700,7,2,-93304.69988457144,,,,
0.0,286,100.0,800,8,2,-93567.80999675,,,,
0.0,322,100.0,900,9,2,-94078.23706022222,,,,
0.0,359,100.0,1000,10,2,-93690.20649099999,,,,
0.0,393,100.0,1100,11,2,-93339.28177772727,,,,
0.0,430,100.0,1200,12,2,-92892.88774258333,,,,
0.0,466,100.0,1300,13,2,-92734.88788961539,,,,
0.0,501,100.0,1400,14,2,-92752.74560314286,,,,
0.0,536,100.0,1500,15,2,-92582.80934386667,,,,
0.0,571,100.0,1600,16,2,-92551.3737100625,,,,
0.0,608,100.0,1700,17,2,-92588.42427676471,,,,
0.0,643,100.0,1800,18,2,-92771.61262794444,,,,
0.0,680,100.0,1900,19,2,-92639.56250021052,,,,
0.0,715,100.0,2000,20,2,-93067.26753525001,,,,
0.0,752,100.0,2100,21,2,-93190.35709071429,,,,
0.0,788,100.0,2200,22,2,-93449.09921022727,,,,
0.0,824,100.0,2300,23,2,-93514.71387195653,,,,
0.0,860,100.0,2400,24,2,-93531.05353295834,,,,
0.0,897,100.0,2500,25,2,-93481.16778176,,,,
0.0,932,100.0,2600,26,2,-93414.85195546155,,,,
0.0,968,100.0,2700,27,2,-93305.11729755557,,,,
0.0,1005,100.0,2800,28,2,-93335.32019367858,,,,
0.0,1041,100.0,2900,29,2,-93235.40145296553,,,,
0.0,1078,100.0,3000,30,2,-93272.3598602,,,,
0.0,1114,100.0,3100,31,2,-93246.41998993549,,,,
0.0,1152,100.0,3200,32,2,-92950.88856809375,,,,
0.0,1188,100.0,3300,33,2,-92917.72874727272,,,,
0.0,1223,100.0,3400,34,2,-92922.15062085295,,,,
0.0,1258,100.0,3500,35,2,-92746.94164422857,,,,
0.0,1295,100.0,3600,36,2,-92715.81587166667,,,,
0.0,1330,100.0,3700,37,2,-92713.43623459458,,,,
0.0,1366,100.0,3800,38,2,-92778.845074,,,,
0.0,1404,100.0,3900,39,2,-92863.26235033333,,,,
0.0,1440,100.0,4000,40,2,-92651.03712825,,,,
