time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,time/total timesteps,train/n_updates,rollout/success rate,time/fps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean
29,6893.429833984375,0.001,771546.4796875,300100,200080,0.0,10063,3003,-4849.41129193,100.0
56,6920.143115234375,0.001,688282.5640625,300200,200180,0.0,5338,3004,-4857.431962490001,100.0
88,6812.7537109375,0.001,986862.95546875,300300,200280,0.0,3400,3005,-4802.08017964,100.0
119,6927.841357421875,0.001,837216.406640625,300400,200380,0.0,2513,3006,-4778.50963693,100.0
144,6890.5216796875,0.001,977651.362890625,300500,200480,0.0,2080,3007,-4771.90850391,100.0
167,7052.661669921875,0.001,746041.391015625,300600,200580,0.0,1792,3008,-4777.8148606,100.0
194,6910.846630859375,0.001,1037533.0359375,300700,200680,0.0,1548,3009,-4748.80373073,100.0
226,6895.839599609375,0.001,688762.90546875,300800,200780,0.0,1329,3010,-4781.671062949999,100.0
252,6897.13017578125,0.001,1142351.2125,300900,200880,0.0,1192,3011,-4801.62206531,100.0
280,6925.927099609375,0.001,626862.61875,301000,200980,0.0,1071,3012,-4780.21468351,100.0
302,6969.926416015625,0.001,668141.90234375,301100,201080,0.0,995,3013,-4758.08339534,100.0
331,6962.121875,0.001,580249.9984375,301200,201180,0.0,909,3014,-4765.61089205,100.0
357,6969.133447265625,0.001,771395.55390625,301300,201280,0.0,841,3015,-4852.2174712999995,100.0
383,6861.30224609375,0.001,774994.38515625,301400,201380,0.0,786,3016,-4821.6020905099995,100.0
410,6879.467333984375,0.001,935572.065625,301500,201480,0.0,734,3017,-4803.065230759999,100.0
432,6968.87216796875,0.001,1011346.403125,301600,201580,0.0,697,3018,-4725.508407650001,100.0
458,7049.477490234375,0.001,756422.625390625,301700,201680,0.0,657,3019,-4743.9926926299995,100.0
485,6882.705712890625,0.001,1122902.44375,301800,201780,0.0,621,3020,-4727.912171930001,100.0
512,6930.82587890625,0.001,648860.81875,301900,201880,0.0,589,3021,-4715.59210146,100.0
550,6963.4501953125,0.001,680711.4578125,302000,201980,0.0,548,3022,-4736.323199539999,100.0
584,6995.573828125,0.001,633739.28671875,302100,202080,0.0,516,3023,-4743.450342530001,100.0
615,6954.305712890625,0.001,1096315.7484375,302200,202180,0.0,490,3024,-4718.79613148,100.0
643,6942.92373046875,0.001,760768.009375,302300,202280,0.0,469,3025,-4754.76070056,100.0
664,7008.19384765625,0.001,1000217.2328125,302400,202380,0.0,455,3026,-4760.60274207,100.0
691,6971.025390625,0.001,874671.5640625,302500,202480,0.0,437,3027,-4739.63173506,100.0
714,6899.94462890625,0.001,669819.0046875,302600,202580,0.0,423,3028,-4721.30601957,100.0
737,6898.772705078125,0.001,802944.2625,302700,202680,0.0,410,3029,-4739.86027238,100.0
757,6934.812890625,0.001,684235.103125,302800,202780,0.0,399,3030,-4743.672754340001,100.0
783,6988.4462890625,0.001,1014423.77421875,302900,202880,0.0,386,3031,-4707.0023099,100.0
812,6948.4080078125,0.001,789480.1203125,303000,202980,0.0,372,3032,-4630.459898170001,100.0
849,6935.607470703125,0.001,995383.49765625,303100,203080,0.0,356,3033,-4636.53176305,100.0
867,6997.85859375,0.001,594459.37421875,303200,203180,0.0,349,3034,-4641.3363353800005,100.0
887,6902.43125,0.001,752409.662109375,303300,203280,0.0,341,3035,-4598.0068531,100.0
915,7025.518505859375,0.001,757939.950390625,303400,203380,0.0,331,3036,-4604.66015626,100.0
944,7109.069482421875,0.001,669230.1671875,303500,203480,0.0,321,3037,-4659.10879876,100.0
976,6994.693115234375,0.001,807135.47578125,303600,203580,0.0,311,3038,-4763.31685652,100.0
991,6994.4830078125,0.001,745137.6703125,303700,203680,0.0,306,3039,-4808.609534780001,100.0
1023,7129.98994140625,0.001,410770.8875,303800,203780,0.0,296,3040,-4851.690309390001,100.0
1056,6970.96005859375,0.001,647753.3859375,303900,203880,0.0,287,3041,-4897.266905610001,100.0
1091,6966.628564453125,0.001,1091319.87421875,304000,203980,0.0,278,3042,-4837.0338256800005,100.0
1114,7024.694189453125,0.001,734719.1125,304100,204080,0.0,272,3043,-4779.44649683,100.0
1141,6959.44892578125,0.001,591696.53671875,304200,204180,0.0,266,3044,-4764.428923650001,100.0
1165,7041.11357421875,0.001,697338.92734375,304300,204280,0.0,261,3045,-4757.37111585,100.0
1189,7005.410009765625,0.001,839874.1671875,304400,204380,0.0,255,3046,-4746.12260664,100.0
1218,7057.041796875,0.001,782423.75234375,304500,204480,0.0,249,3047,-4685.6721935900005,100.0
1251,6959.448486328125,0.001,753514.312890625,304600,204580,0.0,243,3048,-4703.761421,100.0
1277,7004.6998046875,0.001,1017086.815234375,304700,204680,0.0,238,3049,-4735.284886650001,100.0
1320,7026.77802734375,0.001,855202.17265625,304800,204780,0.0,230,3050,-4733.717021670001,100.0
1342,6912.177099609375,0.001,732817.73125,304900,204880,0.0,227,3051,-4751.62422256,100.0
1365,6940.461279296875,0.001,831503.16171875,305000,204980,0.0,223,3052,-4730.81467976,100.0
1407,6952.704248046875,0.001,854290.57109375,305100,205080,0.0,216,3053,-4798.7192838,100.0
1437,7036.352197265625,0.001,927748.03671875,305200,205180,0.0,212,3054,-4872.7732282,100.0
1457,7069.7607421875,0.001,501969.400390625,305300,205280,0.0,209,3055,-4889.7466657899995,100.0
1473,7023.619580078125,0.001,691346.5390625,305400,205380,0.0,207,3056,-4895.78920532,100.0
1509,7141.31259765625,0.001,412139.253125,305500,205480,0.0,202,3057,-4979.43588811,100.0
1535,7041.84326171875,0.001,912395.46796875,305600,205580,0.0,199,3058,-5043.21814444,100.0
1562,7071.561865234375,0.001,1092109.0984375,305700,205680,0.0,195,3059,-5027.889812519999,100.0
1596,7028.684033203125,0.001,896540.009765625,305800,205780,0.0,191,3060,-5097.2092589700005,100.0
1627,7022.1779296875,0.001,852001.80234375,305900,205880,0.0,187,3061,-5106.246899080001,100.0
1658,7081.22705078125,0.001,796141.890625,306000,205980,0.0,184,3062,-5100.228444810001,100.0
1673,7025.42421875,0.001,1090880.75390625,306100,206080,0.0,182,3063,-5097.259347020001,100.0
1705,7017.463525390625,0.001,867371.48671875,306200,206180,0.0,179,3064,-5054.650400969999,100.0
1731,7197.91015625,0.001,603642.590625,306300,206280,0.0,176,3065,-5024.23370843,100.0
1761,6989.8927734375,0.001,832684.9953125,306400,206380,0.0,173,3066,-5049.94067413,100.0
1785,7060.91025390625,0.001,804012.158984375,306500,206480,0.0,171,3067,-5009.55617497,100.0
1808,7150.863720703125,0.001,1012413.3171875,306600,206580,0.0,169,3068,-4984.5764941,100.0
1829,7142.211279296875,0.001,734473.38828125,306700,206680,0.0,167,3069,-4983.0190347,100.0
1863,7020.76806640625,0.001,1027739.52890625,306800,206780,0.0,164,3070,-4992.77950203,100.0
1886,7014.146142578125,0.001,1082443.15078125,306900,206880,0.0,162,3071,-5014.08409828,100.0
1901,7113.55458984375,0.001,1059166.1140625,307000,206980,0.0,161,3072,-4994.77880099,100.0
1924,6998.362158203125,0.001,742561.08125,307100,207080,0.0,159,3073,-5008.580836040001,100.0
1944,7088.634130859375,0.001,973110.64375,307200,207180,0.0,157,3074,-5041.774416640001,100.0
1960,7106.752978515625,0.001,885348.87265625,307300,207280,0.0,156,3075,-5016.94255913,100.0
1995,7120.667431640625,0.001,758726.254296875,307400,207380,0.0,154,3076,-4992.47091786,100.0
2016,7205.418994140625,0.001,798890.598046875,307500,207480,0.0,152,3077,-4915.654115269999,100.0
2045,7102.865869140625,0.001,947209.90625,307600,207580,0.0,150,3078,-4949.940038869999,100.0
2077,7148.228662109375,0.001,825764.644921875,307700,207680,0.0,148,3079,-4914.94445982,100.0
2105,7115.54580078125,0.001,727385.815234375,307800,207780,0.0,146,3080,-4862.82824568,100.0
2138,7061.840576171875,0.001,1048948.558203125,307900,207880,0.0,143,3081,-4869.26073222,100.0
2158,7179.713818359375,0.001,720913.85703125,308000,207980,0.0,142,3082,-4812.8089962799995,100.0
2189,7019.292236328125,0.001,1363865.83125,308100,208080,0.0,140,3083,-4785.78313642,100.0
2221,7110.4017578125,0.001,690176.88828125,308200,208180,0.0,138,3084,-4846.04451827,100.0
2250,7164.36513671875,0.001,657102.885546875,308300,208280,0.0,136,3085,-4862.3404231800005,100.0
2275,7149.340087890625,0.001,761798.9328125,308400,208380,0.0,135,3086,-4872.789132,100.0
2302,7091.56689453125,0.001,1171399.31328125,308500,208480,0.0,133,3087,-4914.1447103,100.0
2336,7104.91904296875,0.001,855534.34765625,308600,208580,0.0,132,3088,-4961.11261982,100.0
2356,7218.605517578125,0.001,691732.50546875,308700,208680,0.0,130,3089,-4951.68397994,100.0
2381,7116.119921875,0.001,1061452.284375,308800,208780,0.0,129,3090,-4967.909444609999,100.0
2410,7189.110498046875,0.001,973614.43828125,308900,208880,0.0,128,3091,-5005.02963934,100.0
2450,7162.573828125,0.001,917740.084375,309000,208980,0.0,126,3092,-5006.31472578,100.0
2467,7108.348779296875,0.001,886227.96875,309100,209080,0.0,125,3093,-4990.016946200001,100.0
2496,7225.30791015625,0.001,655984.93515625,309200,209180,0.0,123,3094,-5010.39310434,100.0
2512,7144.612890625,0.001,962644.51015625,309300,209280,0.0,123,3095,-4966.23196017,100.0
2543,7164.4890625,0.001,898555.86015625,309400,209380,0.0,121,3096,-4979.05574941,100.0
2560,7146.2279296875,0.001,1007019.5953125,309500,209480,0.0,120,3097,-4978.77753475,100.0
2574,7158.755029296875,0.001,1071536.18515625,309600,209580,0.0,120,3098,-4994.6349029,100.0
2608,7265.807373046875,0.001,1245495.883984375,309700,209680,0.0,118,3099,-4977.931820850001,100.0
2629,7225.3642578125,0.001,730303.5265625,309800,209780,0.0,117,3100,-4957.33424756,100.0
2665,7318.689892578125,0.001,877284.851953125,309900,209880,0.0,116,3101,-4984.77749716,100.0
2688,7195.858642578125,0.001,865383.57265625,310000,209980,0.0,115,3102,-5006.870344049999,100.0
2714,7318.738623046875,0.001,751437.678125,310100,210080,0.0,114,3103,-4983.16612179,100.0
2727,7369.7404296875,0.001,944304.915234375,310200,210180,0.0,113,3104,-4979.47274508,100.0
2752,7240.096826171875,0.001,915954.11328125,310300,210280,0.0,112,3105,-5026.312717240001,100.0
2776,7276.498486328125,0.001,952589.4515625,310400,210380,0.0,111,3106,-5045.598902909999,100.0
2794,7330.415771484375,0.001,724825.89375,310500,210480,0.0,111,3107,-5049.46675588,100.0
2816,7383.49345703125,0.001,400690.50234375,310600,210580,0.0,110,3108,-5047.172511889999,100.0
2831,7226.79228515625,0.001,967652.42265625,310700,210680,0.0,109,3109,-5012.03122107,100.0
2861,7242.017724609375,0.001,1184721.86171875,310800,210780,0.0,108,3110,-5047.7559310100005,100.0
2893,7240.796044921875,0.001,877489.36015625,310900,210880,0.0,107,3111,-5032.95880094,100.0
2925,7294.801171875,0.001,642525.03203125,311000,210980,0.0,106,3112,-5071.972165480001,100.0
2948,7296.29912109375,0.001,824272.4109375,311100,211080,0.0,105,3113,-5090.651195380001,100.0
2967,7311.819140625,0.001,1046942.0,311200,211180,0.0,104,3114,-5121.73342717,100.0
2999,7206.85439453125,0.001,1002365.1140625,311300,211280,0.0,103,3115,-5066.069364400001,100.0
3015,7277.198828125,0.001,989447.343359375,311400,211380,0.0,103,3116,-5090.161814000001,100.0
3049,7314.04990234375,0.001,717140.25546875,311500,211480,0.0,102,3117,-5100.76848899,100.0
3073,7193.152294921875,0.001,1125081.79765625,311600,211580,0.0,101,3118,-5140.13638778,100.0
3090,7339.133837890625,0.001,1068914.261328125,311700,211680,0.0,100,3119,-5177.096002220001,100.0
3114,7405.29443359375,0.001,536578.41796875,311800,211780,0.0,100,3120,-5185.18696355,100.0
3134,7347.1125,0.001,728663.77109375,311900,211880,0.0,99,3121,-5195.18255961,100.0
3165,7404.8041015625,0.001,840889.7375,312000,211980,0.0,98,3122,-5150.1752731999995,100.0
3206,7293.942236328125,0.001,455104.75234375,312100,212080,0.0,97,3123,-5188.61995512,100.0
3233,7235.872216796875,0.001,1252009.86171875,312200,212180,0.0,96,3124,-5251.4127493099995,100.0
3267,7349.033349609375,0.001,781814.449609375,312300,212280,0.0,95,3125,-5279.611255239999,100.0
3301,7351.395361328125,0.001,595226.97265625,312400,212380,0.0,94,3126,-5302.28602077,100.0
3328,7228.06474609375,0.001,1320040.78046875,312500,212480,0.0,93,3127,-5325.819462990001,100.0
3360,7283.543017578125,0.001,728682.43046875,312600,212580,0.0,93,3128,-5459.0866955,100.0
3393,7374.449609375,0.001,661810.81328125,312700,212680,0.0,92,3129,-5602.40362612,100.0
3415,7504.853515625,0.001,986930.328515625,312800,212780,0.0,91,3130,-5614.1053042799995,100.0
3441,7305.087353515625,0.001,1007328.16953125,312900,212880,0.0,90,3131,-5696.449231199999,100.0
3468,7368.600537109375,0.001,942745.678125,313000,212980,0.0,90,3132,-5748.385820969998,100.0
3491,7486.186572265625,0.001,500651.733984375,313100,213080,0.0,89,3133,-5741.48272243,100.0
3523,7275.455908203125,0.001,1090112.4625,313200,213180,0.0,88,3134,-5768.68090324,100.0
3544,7421.0458984375,0.001,871662.50078125,313300,213280,0.0,88,3135,-5782.656839939999,100.0
3570,7277.618408203125,0.001,871753.0,313400,213380,0.0,87,3136,-5802.59425119,100.0
3595,7378.46611328125,0.001,1054080.37578125,313500,213480,0.0,87,3137,-5764.15884504,100.0
3621,7341.283544921875,0.001,744398.97265625,313600,213580,0.0,86,3138,-5743.44730219,100.0
3643,7300.007275390625,0.001,1165091.6265625,313700,213680,0.0,86,3139,-5715.30834447,100.0
3674,7262.484423828125,0.001,547981.74765625,313800,213780,0.0,85,3140,-5722.616886239999,100.0
3699,7318.97548828125,0.001,1339477.8125,313900,213880,0.0,84,3141,-5686.8365413500005,100.0
3725,7385.83359375,0.001,931386.6453125,314000,213980,0.0,84,3142,-5782.3199036000005,100.0
3755,7526.26748046875,0.001,1115500.8609375,314100,214080,0.0,83,3143,-5863.343970590001,100.0
3777,7352.315673828125,0.001,915669.50625,314200,214180,0.0,83,3144,-5854.249921199999,100.0
3807,7394.4611328125,0.001,835780.581640625,314300,214280,0.0,82,3145,-6011.104728140001,100.0
3825,7408.12744140625,0.001,479006.73828125,314400,214380,0.0,82,3146,-6006.22013399,100.0
3854,7290.257568359375,0.001,726601.50234375,314500,214480,0.0,81,3147,-6037.583671169999,100.0
3884,7303.212109375,0.001,1041472.58984375,314600,214580,0.0,80,3148,-6030.5558157899995,100.0
3909,7352.328271484375,0.001,1135101.668359375,314700,214680,0.0,80,3149,-6048.1804318899985,100.0
3939,7377.025390625,0.001,1069799.62421875,314800,214780,0.0,79,3150,-6079.14130245,100.0
3965,7378.48046875,0.001,671538.7515625,314900,214880,0.0,79,3151,-6142.616044289999,100.0
3988,7492.6330078125,0.001,620681.38828125,315000,214980,0.0,78,3152,-6131.58036264,100.0
4012,7343.49345703125,0.001,1060766.49375,315100,215080,0.0,78,3153,-6010.227954070001,100.0
4042,7454.01591796875,0.001,701891.92265625,315200,215180,0.0,77,3154,-5977.259745150001,100.0
4081,7430.369482421875,0.001,929527.090625,315300,215280,0.0,77,3155,-6210.977860640001,100.0
4108,7381.524560546875,0.001,662299.5640625,315400,215380,0.0,76,3156,-6251.68644274,100.0
4144,7331.061083984375,0.001,1063644.91328125,315500,215480,0.0,76,3157,-6184.175661689998,100.0
4171,7439.815234375,0.001,693026.55,315600,215580,0.0,75,3158,-6147.752011039998,100.0
4196,7367.344677734375,0.001,916914.4046875,315700,215680,0.0,75,3159,-6167.31561382,100.0
4219,7499.99521484375,0.001,936188.85859375,315800,215780,0.0,74,3160,-6155.7272333599985,100.0
4242,7464.1125,0.001,923925.91640625,315900,215880,0.0,74,3161,-6174.4142128700005,100.0
4264,7490.59306640625,0.001,854834.01796875,316000,215980,0.0,74,3162,-6224.69759492,100.0
4284,7471.94580078125,0.001,499300.088671875,316100,216080,0.0,73,3163,-6205.79870166,100.0
4312,7510.8873046875,0.001,922473.74140625,316200,216180,0.0,73,3164,-6271.18046233,100.0
4342,7451.965576171875,0.001,1276824.13125,316300,216280,0.0,72,3165,-6399.888577719999,100.0
4377,7522.716162109375,0.001,666448.0375,316400,216380,0.0,72,3166,-6390.12912636,100.0
4407,7495.428076171875,0.001,1188704.84765625,316500,216480,0.0,71,3167,-6448.65259997,100.0
4423,7484.020556640625,0.001,732488.003515625,316600,216580,0.0,71,3168,-6452.5537457,100.0
4448,7478.4380859375,0.001,890363.315625,316700,216680,0.0,71,3169,-6484.2560146000005,100.0
4482,7391.6076171875,0.001,709890.807421875,316800,216780,0.0,70,3170,-6648.827071700001,100.0
4512,7416.88408203125,0.001,765479.968359375,316900,216880,0.0,70,3171,-6743.541484900001,100.0
4536,7460.683837890625,0.001,1007718.296875,317000,216980,0.0,69,3172,-6742.762152730001,100.0
4563,7472.13251953125,0.001,934052.5203125,317100,217080,0.0,69,3173,-6710.387204470001,100.0
4586,7444.7087890625,0.001,835844.02578125,317200,217180,0.0,69,3174,-6665.7929994800015,100.0
4612,7484.918896484375,0.001,1097700.861328125,317300,217280,0.0,68,3175,-6689.571360819999,100.0
4627,7520.765185546875,0.001,819654.923046875,317400,217380,0.0,68,3176,-6676.17550299,100.0
4650,7455.99521484375,0.001,677738.258984375,317500,217480,0.0,68,3177,-6729.61224607,100.0
4668,7522.4818359375,0.001,876234.676171875,317600,217580,0.0,68,3178,-6732.57767759,100.0
4688,7472.439892578125,0.001,1200332.271875,317700,217680,0.0,67,3179,-6705.147302429999,100.0
4721,7499.64638671875,0.001,1014263.8015625,317800,217780,0.0,67,3180,-6728.642280399999,100.0
4740,7402.198828125,0.001,1246257.50390625,317900,217880,0.0,67,3181,-6711.159902489999,100.0
4756,7514.559716796875,0.001,517955.05,318000,217980,0.0,66,3182,-6751.569667870001,100.0
4783,7525.4318359375,0.001,688756.35546875,318100,218080,0.0,66,3183,-6794.34321318,100.0
4807,7487.2755859375,0.001,637354.66796875,318200,218180,0.0,66,3184,-6794.56912931,100.0
4839,7446.88779296875,0.001,907734.68515625,318300,218280,0.0,65,3185,-6855.599356079999,100.0
4863,7545.506640625,0.001,956951.8453125,318400,218380,0.0,65,3186,-6880.895208049999,100.0
4883,7539.60498046875,0.001,507661.065625,318500,218480,0.0,65,3187,-6809.702403370001,100.0
4899,7587.742822265625,0.001,655891.375,318600,218580,0.0,65,3188,-6741.282869220001,100.0
4925,7548.69013671875,0.001,770720.554296875,318700,218680,0.0,64,3189,-6811.195487910001,100.0
4950,7468.84765625,0.001,808995.1125,318800,218780,0.0,64,3190,-6803.175267520002,100.0
4970,7518.681103515625,0.001,767428.316015625,318900,218880,0.0,64,3191,-6806.023898540002,100.0
5004,7561.31767578125,0.001,988704.86171875,319000,218980,0.0,63,3192,-6784.437782320001,100.0
