time/total timesteps,train/n_updates,rollout/success rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,rollout/ep_len_mean
600100,500080,0.0,32595,-4864.74409415,18,6006,534159.8623046875,0.001,5713.693505859375,100.0
600200,500180,0.0,12818,-4876.098296259999,46,6007,402984.4888671875,0.001,5669.28837890625,100.0
600300,500280,0.0,9915,-4864.110587499999,60,6008,609224.353515625,0.001,5655.2625,100.0
600400,500380,0.0,7738,-4872.69974166,77,6009,325924.08916015626,0.001,5644.310302734375,100.0
600500,500480,0.0,6247,-4902.17633365,96,6010,590936.6810546875,0.001,5702.438525390625,100.0
600600,500580,0.0,5193,-4852.881469270001,115,6011,492354.96953125,0.001,5691.2333984375,100.0
600700,500680,0.0,4476,-4871.31713305,134,6012,297794.4748046875,0.001,5742.365234375,100.0
600800,500780,0.0,3809,-4929.40222588,157,6013,502593.5833984375,0.001,5647.025927734375,100.0
600900,500880,0.0,3407,-4937.49711526,176,6014,896817.4453125,0.001,5607.392578125,100.0
601000,500980,0.0,2923,-5057.557183749999,205,6015,620683.79296875,0.001,5638.715966796875,100.0
601100,501080,0.0,2589,-5052.523438910001,232,6016,356729.30390625,0.001,5684.181689453125,100.0
601200,501180,0.0,2402,-5040.3694167,250,6017,567784.3833984375,0.001,5632.812060546875,100.0
601300,501280,0.0,2256,-5031.19879293,266,6018,626057.975,0.001,5619.267822265625,100.0
601400,501380,0.0,2117,-5006.80762526,284,6019,301186.73984375,0.001,5643.64580078125,100.0
601500,501480,0.0,1981,-4997.54314951,303,6020,489330.8130859375,0.001,5648.39306640625,100.0
601600,501580,0.0,1866,-4909.70718292,322,6021,637838.2390625,0.001,5629.214892578125,100.0
601700,501680,0.0,1770,-4869.82291198,339,6022,655548.874609375,0.001,5634.558447265625,100.0
601800,501780,0.0,1669,-4927.751706760001,360,6023,532068.6771484375,0.001,5639.73369140625,100.0
601900,501880,0.0,1575,-4901.90573731,382,6024,491511.61171875,0.001,5653.95703125,100.0
602000,501980,0.0,1460,-4903.18067103,412,6025,450804.128125,0.001,5675.60869140625,100.0
602100,502080,0.0,1405,-4854.3381511299995,428,6026,644464.6244140625,0.001,5637.093603515625,100.0
602200,502180,0.0,1361,-4811.544584509999,442,6027,505736.855078125,0.001,5618.812939453125,100.0
602282,502280,0.01,1312,-4751.713577899999,458,6028,455865.8611328125,0.001,5627.70419921875,99.82
602382,502380,0.01,1254,-4765.0235555399995,480,6029,405183.428515625,0.001,5622.39384765625,99.82
602482,502480,0.01,1208,-4776.661562959999,498,6030,612802.9708984375,0.001,5710.8248046875,99.82
602582,502580,0.01,1160,-4741.42516528,519,6031,299072.6501953125,0.001,5583.833935546875,99.82
